event_time,user_host,thread_id,server_id,command_type,argument
"2021-12-11 23:36:46.930252,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.934172,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.936173,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.938779,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.940845,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.943274,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.945151,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.947581,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.949631,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.952756,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:36:46.975467,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:40:41.715704,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:45:40.122568,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:47:05.936870,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:47:24.661643,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:54:03.726708,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-11 23:54:03.742543,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:54:03.743658,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:54:03.744147,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-11 23:54:03.745524,""root[root] @ localhost [::1]"",14,1,Query,..."
"2021-12-12 11:47:45.597518,""root[root] @ localhost [::1]"",15,1,Query,..."
"2021-12-12 11:50:19.223772,""[root] @ localhost [::1]"",24,1,Connect,..."
"2021-12-12 11:50:19.405002,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.405964,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.412200,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.454099,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.454686,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.586123,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.596367,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.697150,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.697638,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.834026,""root[root] @ localhost [::1]"",24,1,Query,..."
"2021-12-12 11:50:19.874142,""[root] @ localhost [::1]"",25,1,Connect,..."
"2021-12-12 11:50:19.907324,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.907629,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.907936,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.908231,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.908705,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.947151,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:19.978293,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.013234,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.013582,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.081380,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.081709,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.128860,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.132262,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.136305,""root[root] @ localhost [::1]"",25,1,Query,..."
"2021-12-12 11:50:20.136645,""root[root] @ localhost [::1]"",25,1,Query,..."
